B1	B2	CD4_1	CD4_2	CD4_3	CD4_4	CD45_1	CD45_2	CD8_1	CD8_2	CD8_3	CD8_4	CD8_5	CD8_6	DC1	DC2	DC3	DC4	E1	E2	E3	M1	M10	M11	M12	M13	M2	M3	M4	M5	M6	M7	M8	M9	Mo1	Mo2	Mo3	Mo4	Mo5	Mo6	Mo7	Mo8	N1	N2	N3	N4	N5	N6	N7	NK1	NK2	NKT	S	T1	T10	T11	T12	T2	T3	T4	T5	T6	T7	T8	T9	Treg1	Treg2
T11	3	0	81	0	0	4	67	14	3	21	5	0	7	4	14	1	3	1	108	49	0	3645	18	114	0	5	80	51	1	0	63	509	19	1	1509	89	41	15	5	2	1	0	148	18	1	1	25	596	465	131	1	14	2	2	100	526	726	0	17	41	65	590	36	126	3	6	36
T12	20	0	217	1	0	25	221	74	16	55	15	2	16	39	78	5	11	4	728	639	0	4183	220	271	6	16	246	1501	0	4	37	4197	135	3	2627	507	78	250	72	63	14	23	302	27	1	0	72	1066	566	407	6	42	9	10	225	726	4830	0	25	96	284	610	501	755	5	11	69
T2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	1	0	0	0	7	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0
T3	0	0	0	0	0	0	3	0	0	1	0	0	0	1	1	0	0	0	2	6	0	213	1	22	0	0	1	0	0	0	1	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	2	8	2	0	0	0	0	0	17	25	0	6	4	11	32	2	0	0	0	0
T4	0	0	1	0	0	0	1	1	0	1	0	0	2	0	0	1	0	0	3	0	0	499	1	29	0	0	6	0	0	0	2	13	0	0	71	1	2	1	0	0	0	0	0	3	0	0	0	10	18	4	0	0	0	1	0	41	96	0	4	20	25	62	1	5	0	0	0
T5	0	0	13	0	0	3	13	13	1	4	0	0	1	3	7	0	1	0	39	20	0	843	6	84	0	1	11	19	0	0	8	86	6	0	280	15	2	7	1	0	0	0	8	2	0	0	0	39	44	20	0	1	3	1	17	65	284	0	11	25	82	108	21	15	1	1	5
T6	2	0	40	0	0	3	40	19	4	15	8	0	0	8	9	2	4	1	126	48	0	4848	3	185	0	2	49	8	0	0	61	147	2	0	1383	49	19	10	2	0	0	1	77	36	1	0	1	257	389	80	0	4	5	3	50	590	610	0	32	62	108	1218	38	55	1	6	14
T7	13	0	51	0	0	6	68	27	4	13	6	0	5	13	21	1	3	0	165	223	0	511	55	58	2	4	66	289	0	1	4	1024	28	1	564	81	12	41	12	12	3	4	34	5	0	0	19	134	50	80	1	7	0	3	18	36	501	1	2	1	21	38	210	194	3	2	21
T8	10	1	154	1	0	7	138	20	8	46	10	0	2	27	42	4	7	1	241	269	0	1125	81	59	4	1	118	601	3	0	17	3316	128	0	1137	214	67	120	28	36	9	14	189	12	0	1	93	633	261	257	4	37	3	1	51	126	755	2	0	5	15	55	194	666	15	5	67
T9	0	0	2	0	0	0	1	0	0	1	2	0	0	0	1	0	1	0	0	4	0	30	0	1	0	0	0	6	0	0	0	37	0	0	46	5	9	1	2	0	0	0	6	0	0	0	4	11	9	9	0	2	0	0	1	3	5	0	0	0	1	1	3	15	4	0	2
Treg1	0	0	7	0	0	1	3	1	0	0	2	0	1	1	3	0	0	0	20	3	0	68	1	6	1	0	2	7	0	0	0	61	7	0	96	7	1	5	2	0	0	0	2	2	0	0	0	11	10	6	0	3	0	0	1	6	11	0	0	0	1	6	2	5	0	2	6
Treg2	2	0	76	0	0	5	37	8	5	13	1	0	2	8	8	1	1	0	88	66	0	321	10	11	0	2	16	47	0	0	2	432	34	0	444	57	26	11	5	2	1	0	54	6	0	0	17	166	74	59	0	22	3	0	15	36	69	0	0	0	5	14	21	67	2	6	54
