SampleName	100001101-Pre	100001106-Pre	100001107-Pre	100001109-Pre	100001115-Pre	100005101-Pre	100001104-Pre	100001105-Pre	100001110-Pre	100001113-Pre	100001114-Pre	100001116-Pre	100004103-Pre	100005103-Pre	100004102-Pre	100006101-Pre	100001103-Pre	100001111-Pre	100001101-Post	100001106-Post	100001107-Post	100001109-Post	100001115-Post	100005101-Post	100001104-Post	100001105-Post	100001110-Post	100001113-Post	100001114-Post	100001116-Post	100004103-Post	100005103-Post	100004102-Post	100006101-Post	100001103-Post	100001111-Post	100001112-Post	100001102-Post
Patient	100001101	100001106	100001107	100001109	100001115	100005101	100001104	100001105	100001110	100001113	100001114	100001116	100004103	100005103	100004102	100006101	100001103	100001111	100001101	100001106	100001107	100001109	100001115	100005101	100001104	100001105	100001110	100001113	100001114	100001116	100004103	100005103	100004102	100006101	100001103	100001111	100001112	100001102
Timepoint	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post
Response	PD	PD	PD	PD	PD	PD	SD	SD	SD	SD	SD	SD	SD	SD	PR	PR	PR	PR	PD	PD	PD	PD	PD	PD	SD	SD	SD	SD	SD	SD	SD	SD	PR	PR	PR	PR	PR	PD
RORC	4.6	31.66	40.11	17.22	23.24	5.61	70.41	22.5	28.24	11.69	23.58	10.7	5.29	15.7	18.2	15.31	12.88	2.4	2.1	13.85	63.02	21.21	40.33	6.01	20.96	1	72.48	12.52	4.78	13.9	127.42	17.13	34.41	32.9	21.61	15.8	48.25	30.05
RPL7A	3422.34	6204.72	5835.29	6032.8	5529.4	12468.56	10173.33	2385.05	8524.01	5392	5833.75	4730.12	10792.56	7617.12	8061.2	6553.77	5688.23	6401.84	4500.68	5597.94	4151.26	5878.68	9616.32	13965.77	8710.68	6467.84	6878.12	7946.55	7599.12	3938.31	7229.79	8866.03	7729.68	9218.99	8242.68	10389.61	6677.77	6625.86
RPS6KA5	20.51	55.4	72.87	164.99	135.22	44.9	75.89	39.38	53	32.15	50.52	72.4	85.43	66.42	74.32	131.35	111.24	113.5	32.17	58.85	60.36	168.71	76.45	62.11	60.42	79.17	54.36	45.91	183.48	46.33	94.38	54.81	70.46	85.53	62.12	55.29	84.44	57.59
RPS6KB1	155.96	142.46	164.47	192.25	177.48	136.58	151.79	28.13	153.58	163.69	131.36	134.93	157.25	216.18	241.15	167.61	165.1	108.1	190.21	93.47	109.17	175.62	162.15	148.25	162.77	125.11	157.75	166.94	150.84	78.77	169.89	217.54	255.63	216.03	180.95	208.52	130.27	67.61
RPTOR	56.23	87.06	43.46	74.6	52.82	87	45.72	73.13	86.27	40.92	50.52	60.89	39.31	50.72	69.77	62.85	66.74	52.25	65.03	62.31	50.59	62.65	47.89	50.09	55.49	73.31	86.34	70.95	55.32	32.43	80.23	41.11	77.02	64.7	81.02	48.97	98.91	60.1
RRAD	1	31.66	4.68	30.13	14.79	1.87	6.4	16.88	1	2.92	47.16	15.63	6.8	13.28	12.13	1.61	14.05	15.01	1.4	10.39	4.44	7.89	10.92	2	6.17	1.95	5.33	18.78	6.77	32.43	84.95	5.14	8.19	10.97	27.01	14.22	16.89	30.05
RRM2	77.45	7.91	32.76	57.39	65.5	259.12	21.03	28.13	135.01	134.95	6.74	34.56	24.19	4.83	92.52	63.66	40.98	83.48	76.22	20.77	71.01	75.97	30.25	228.39	85.08	66.47	106.59	33.39	44.97	9.27	9.44	22.27	86.85	53.73	45.91	195.88	2.41	60.1
RUNX3	164.1	142.46	114.99	248.2	188.05	157.15	91.44	213.75	225.14	57.97	6.74	254.24	86.18	36.23	119.82	154.72	62.06	264.24	97.9	135.02	150	239.25	92.42	100.17	86.32	41.05	272.87	60.52	95.92	69.5	33.03	68.52	136.01	72.37	91.83	69.51	50.66	150.25
S100A12	2.12	7.91	4.68	10.04	14.79	3.74	1	22.5	1.16	3.41	6.74	5.76	1	2.42	30.33	7.25	10.54	1	2.1	6.92	6.21	1	2.52	2	7.4	2.93	1.07	20.87	9.95	4.63	4.72	10.28	34.41	14.26	18.91	31.59	2.41	10.02
S100A8	1368.3	55.4	32.76	648.47	8734.63	98.22	2080.2	28.13	20.5	1483.43	67.36	27.97	5.29	47.1	8781.63	4167.73	42.15	533.29	69.23	218.1	23.08	1147.42	252.04	987.68	6282.69	3.91	119.38	3852.24	7.56	106.57	4.72	8891.72	20309.86	5255.93	5331.28	19193.21	36.19	1612.64
S100A9	1290.5	356.14	155.78	505	8905.78	82.32	1922.02	1569.41	43.71	926.11	124.62	97.09	1	97.83	8811.96	3131.43	92.5	431.79	72.03	1100.89	79.88	633.4	161.31	939.6	5906.59	115.34	238.76	3551.74	13.13	393.83	75.51	10047.93	17050.52	4665.97	5666.17	15329.29	33.77	2038.34
SAMSN1	8.84	205.77	80.23	77.47	73.95	27.13	58.52	303.76	48.74	111.07	101.05	59.24	25.7	72.46	91	45.13	104.21	86.48	8.39	242.34	68.34	82.87	60.49	54.09	146.74	110.45	146.03	110.6	34.23	199.23	94.38	85.65	201.56	62.51	86.42	107.42	60.31	260.43
SBNO2	180.01	142.46	272.78	190.81	188.05	209.54	203.91	275.63	189.16	126.66	97.68	109.43	127.01	172.7	201.72	224.83	127.63	417.38	136.36	180.02	144.68	190.91	164.67	252.43	210.86	119.25	200.39	277.54	153.63	194.6	75.51	361.42	254	179.84	278.18	225.9	149.57	195.32
SELE	2.12	23.74	43.46	37.3	38.03	7.48	8.23	5.63	4.64	28.26	23.58	6.58	3.02	16.91	22.75	14.5	23.42	9.61	5.59	13.85	9.76	37.98	21.84	8.01	27.13	3.91	13.86	20.87	10.75	27.8	9.44	17.13	22.94	15.35	8.1	45.81	9.65	25.04
SELL	2.83	55.4	44.79	31.56	12.68	13.1	13.72	16.88	16.25	52.13	30.31	11.52	9.83	31.4	33.37	20.15	55.03	21.02	4.2	38.08	19.53	29.6	23.52	6.01	103.58	13.68	36.24	39.65	38.21	27.8	28.32	27.41	42.61	32.9	37.81	55.29	19.3	70.11
SELP	3.89	7.91	72.87	24.39	23.24	5.61	19.2	45	1.93	25.33	168.41	17.28	15.12	54.35	33.37	38.68	22.25	11.41	2.8	48.47	11.54	22.69	46.21	6.01	82.62	10.75	18.12	116.86	13.93	74.13	33.03	25.69	27.86	47.15	18.91	58.45	31.36	17.53
SEMA4A	15.21	110.8	40.11	63.13	71.84	44.9	165.5	123.75	27.47	50.67	50.52	48.54	38.56	68.84	116.79	55.6	74.94	70.86	8.39	186.94	52.37	76.96	147.87	44.08	223.19	16.62	58.62	125.21	30.25	189.97	14.16	142.17	162.23	156.81	153.94	156.39	173.7	165.27
SERPINA1	6.37	245.34	23.4	20.09	29.58	107.58	11.89	22.5	69.63	71.61	20.21	38.67	12.1	22.95	15.17	6.45	144.02	28.23	2.1	155.79	59.47	14.8	7.56	100.17	48.09	35.19	243.02	18.78	19.9	134.37	23.6	15.42	44.24	6.58	21.61	37.91	31.36	92.65
SERPINB5	41.02	55.4	1.34	74.6	171.14	12.16	248.71	22.5	1.93	45.79	20.21	43.61	9.07	142.51	546.01	107.17	53.86	25.22	3.5	72.7	5.33	138.62	252.04	34.06	218.26	3.91	6.4	118.95	5.17	32.43	14.16	366.56	934.05	262.08	405.11	439.15	306.39	110.18
SERPINH1	680.44	371.97	1777.06	632.69	458.49	1114.12	339.23	1991.3	330.36	925.62	1626.85	699.36	387.07	1893.71	1063.2	934.76	734.15	2660.43	848.95	609.3	1849.74	1226.84	792.26	1280.18	675.74	2179.73	445.54	1669.44	588.65	1107.36	486.08	1509.07	814.43	1220.5	1550.23	650.83	537.98	966.58
SFN	521.64	553.99	4.68	989.92	2898.87	167.44	2486.18	11.25	2.32	674.73	20.21	319.24	3.78	1506.03	7780.62	1776.04	545.64	383.75	20.28	754.7	1.78	1600.76	2112.13	472.8	3164.16	7.82	1.07	1769.61	3.98	4.63	4.72	5871.86	8996.38	3240.41	9830.72	7524.05	1548.82	2251.19
SFRP1	11.67	39.57	45.46	57.39	40.14	192.7	233.17	22.5	154.74	46.77	77.47	209.81	44.6	270.53	119.82	54.8	16.39	123.71	11.19	10.39	239.65	24.67	58.81	246.42	53.02	27.37	86.34	25.04	10.75	37.07	61.35	176.43	108.15	120.62	64.82	129.53	125.45	25.04
SFRP4	7.43	31.66	1044.31	2.87	10.56	36.48	14.63	22.5	1.93	12.18	1293.4	29.62	22.68	95.41	227.5	3.22	78.45	7.21	3.5	62.31	116.27	15.79	15.96	28.05	17.26	282.49	21.32	50.08	1	745.96	146.29	65.09	11.47	51.54	16.2	4.74	176.11	7.51
SFXN1	114.23	71.23	99.62	140.6	147.9	197.38	160.02	33.75	167.5	222.15	111.15	130.82	147.42	92.99	162.29	95.09	148.7	49.24	125.17	90.01	58.58	180.06	112.58	194.33	124.54	195.49	151.35	73.04	130.94	83.4	66.07	130.18	203.2	151.33	113.43	205.36	91.67	82.64
SGK1	349.41	522.34	274.78	328.54	380.32	373.24	243.22	140.63	781.8	793.6	124.62	615.43	1146.84	207.73	241.15	559.24	203.74	1028.14	245.45	723.54	382.55	499.71	182.31	362.62	251.55	340.16	645.92	290.07	485.57	449.43	132.14	472.76	283.49	237.96	286.28	541.83	243.66	688.63
SH2D1A	1.41	71.23	10.7	11.48	23.24	5.61	8.23	22.5	12.77	22.41	16.84	9.05	6.8	20.53	6.07	14.5	22.25	20.42	1.4	45.01	16.86	25.65	25.2	2	49.32	17.59	55.43	16.69	5.17	32.43	33.03	25.69	57.35	27.41	24.31	20.54	28.95	65.11
SHC2	4.24	7.91	38.78	57.39	19.02	15.9	11.89	101.25	22.82	22.9	178.52	23.86	250.99	70.05	30.33	36.26	18.73	2.4	2.8	17.31	14.2	32.06	13.44	16.03	25.9	46.92	14.92	81.39	64.87	23.17	94.38	66.8	16.39	40.57	54.01	22.12	55.49	32.55
SIGLEC1	11.32	712.28	296.85	65.99	73.95	46.77	64.01	84.38	85.1	105.72	282.93	91.33	8.32	147.34	209.3	77.36	160.41	43.24	11.19	626.61	70.12	94.22	80.65	58.1	261.42	128.05	260.07	361.02	25.47	412.36	160.45	140.46	278.58	125.01	253.87	159.55	108.56	1046.72
SIGLEC5	1.06	15.83	6.02	8.61	14.79	6.55	4.57	11.25	2.71	7.79	20.21	8.23	4.54	1.21	4.55	5.64	8.2	6.01	1	10.39	7.1	8.39	5.04	2	12.33	1	2.13	10.43	5.97	9.27	9.44	6.85	11.47	5.48	8.1	20.54	7.24	22.54
SIGLEC8	2.48	110.8	3.34	22.95	21.13	4.68	15.54	22.5	3.09	3.41	13.47	9.87	8.32	6.04	15.17	7.25	21.08	5.4	1	72.7	5.33	12.33	7.56	10.02	4.93	18.57	14.92	4.17	14.73	69.5	18.88	8.56	8.19	13.16	21.61	18.96	14.47	20.03
SIRPA	127.67	403.62	141.74	173.6	150.01	51.45	85.95	472.51	875.8	254.79	154.94	236.14	89.96	125.6	125.89	185.34	70.25	148.94	126.57	425.82	308.88	207.19	111.74	58.1	94.95	420.31	748.25	141.9	145.27	324.33	66.07	116.48	142.57	116.24	94.53	102.68	98.91	328.04
SIRPB2	1.77	55.4	44.13	2.87	4.23	7.48	9.14	22.5	7.35	19.49	33.68	4.11	2.27	16.91	15.17	11.28	24.59	5.4	1	48.47	21.3	9.37	6.72	6.01	7.4	16.62	14.92	33.39	3.18	83.4	14.16	18.84	31.14	19.74	5.4	14.22	24.12	57.59
SLAMF7	46.33	87.06	14.71	11.48	19.02	6.55	20.12	275.63	117.99	20.95	6.74	274.81	2.27	19.32	34.88	23.37	40.98	49.85	146.85	72.7	29.29	26.64	25.2	14.02	38.23	52.78	207.85	22.95	10.35	83.4	9.44	23.98	73.74	31.8	45.91	33.17	26.54	112.68
SLC11A1	6.37	71.23	21.39	14.35	12.68	43.03	5.49	78.75	17.41	34.59	23.58	30.44	6.05	10.87	13.65	24.98	14.05	12.61	4.2	200.79	7.1	9.37	9.24	60.1	7.4	28.35	47.96	41.74	23.88	208.5	75.51	56.53	63.91	19.74	13.5	64.77	21.71	107.68
SLC16A1	87.71	94.97	52.82	70.3	126.77	241.35	39.32	33.75	294.77	97.92	87.57	76.52	193.53	62.8	86.45	61.24	69.08	82.28	101.4	48.47	85.21	79.42	64.69	248.42	54.26	101.66	204.65	77.21	314.82	97.3	184.05	121.62	72.1	49.35	83.72	121.64	94.09	50.08
SLC1A5	78.51	79.14	76.22	146.34	177.48	199.25	68.58	157.5	68.47	78.92	101.05	86.39	58.97	120.77	415.57	147.47	70.25	78.07	225.87	103.86	73.67	102.61	59.65	516.88	97.42	29.32	126.84	154.42	93.53	37.07	202.93	130.18	114.71	131.59	272.78	143.75	38.6	70.11
SLC2A1	49.87	102.88	18.05	70.3	192.27	80.45	138.07	118.13	25.14	42.38	20.21	65	32.51	92.99	209.3	112.82	62.06	63.66	18.18	114.24	43.49	157.86	122.66	76.13	172.64	38.12	28.78	104.34	31.44	46.33	28.32	291.19	340.85	208.35	380.81	311.2	270.2	230.38
SLC3A2	592.73	150.37	276.12	265.41	523.99	269.41	229.51	1046.27	614.3	227.02	175.15	721.57	828.57	251.21	274.52	452.87	430.89	780.71	634.96	321.96	391.43	442.98	253.72	316.54	244.16	927.61	607.55	265.02	339.9	268.73	202.93	303.19	342.49	262.08	297.08	500.76	221.95	425.7
SLC7A5	776.63	15.83	96.94	195.12	390.88	228.25	152.7	405.01	1512.16	71.13	16.84	1856.17	91.48	49.52	150.15	512.5	449.63	958.47	789.51	31.16	292.9	312.75	87.38	216.37	154.14	2248.15	1385.64	31.3	938.9	64.87	47.19	87.36	308.07	122.82	164.75	571.85	91.67	157.76
SMAD5	154.55	182.03	86.25	121.95	86.63	137.51	144.47	39.38	106.38	189.02	191.99	95.44	123.98	173.91	119.82	146.66	151.05	94.29	150.35	93.47	68.34	214.59	172.23	126.21	123.31	207.22	93.8	179.47	153.63	60.23	99.1	157.59	131.09	167.78	102.63	162.71	205.06	105.17
SMAD9	10.96	39.57	35.43	28.69	19.02	72.03	25.6	22.5	7.74	11.69	74.1	34.56	13.61	32.61	22.75	22.56	32.79	11.41	21.68	31.16	16.86	31.57	20.16	82.14	40.69	29.32	15.99	54.26	9.95	50.97	51.91	23.98	18.03	21.93	37.81	39.49	33.77	10.02
SMAP1	58.71	47.49	62.18	55.95	92.97	46.77	108.81	45	72.34	77.46	57.26	78.16	68.8	74.88	112.23	70.11	57.37	54.65	54.55	107.32	55.92	92.25	84.01	42.07	93.72	59.62	53.29	73.04	119.8	64.87	75.51	109.63	162.23	88.82	91.83	107.42	89.26	70.11
SMC3	200.52	126.63	166.47	236.72	202.84	218.89	132.58	50.63	135.78	166.61	148.2	171.14	289.55	205.31	192.62	189.37	197.88	207.19	260.84	100.4	161.54	237.28	157.11	214.36	178.8	197.45	128.97	185.73	161.59	83.4	179.33	176.43	199.92	150.23	226.86	230.63	125.45	150.25
SMO	55.88	39.57	35.43	70.3	27.47	8.42	37.49	61.88	87.43	59.92	47.16	35.38	6.05	56.76	59.15	79.78	51.52	35.43	66.43	41.54	27.52	50.32	42.85	4.01	40.69	55.72	77.81	73.04	95.12	27.8	37.75	49.67	45.88	70.18	45.91	53.71	57.9	55.09
SNAI1	5.66	102.88	41.45	35.87	29.58	128.16	13.72	56.25	13.15	50.67	94.31	64.18	18.14	24.15	28.82	30.62	15.22	37.23	9.79	34.62	28.4	15.79	16.8	156.27	16.03	8.8	15.99	33.39	13.13	69.5	42.47	23.98	27.86	19.74	32.41	34.75	24.12	25.04
SNAI2	397.16	102.88	186.53	119.08	340.17	367.63	118.87	241.88	173.3	207.53	205.46	403.98	24.19	311.59	175.94	178.09	471.87	332.1	323.08	148.86	113.61	211.13	177.27	256.44	177.57	1012.65	139.63	158.6	243.98	148.27	113.26	325.45	267.11	256.6	353.8	229.05	238.84	145.24
SOX11	2.12	31.66	6.69	28.69	6.34	5.61	12.8	22.5	5.8	3.9	6.74	7.4	10.58	3.62	16.68	1	24.59	2.4	4.9	20.77	8.88	7.4	10.08	10.02	7.4	7.82	8.53	16.69	18.71	37.07	18.88	11.99	4.92	5.48	32.41	17.38	4.82	5.01
SOX2	20.51	7.91	4.01	12.91	16.9	7.48	13.72	5.63	2.71	17.05	6.74	9.87	9.83	3.62	9.1	8.06	9.37	30.63	64.34	3.46	10.65	5.92	10.92	20.03	7.4	2.93	1.07	33.39	168.36	9.27	9.44	20.55	6.55	10.97	8.1	12.64	12.06	12.52
SPIB	2.12	39.57	13.37	45.91	10.56	7.48	16.46	50.63	7.74	12.18	13.47	8.23	11.34	10.87	12.13	4.83	15.22	14.41	3.5	10.39	16.86	11.84	19.32	12.02	64.12	12.71	21.32	18.78	15.52	60.23	23.6	15.42	16.39	14.26	29.71	14.22	9.65	32.55
SPINK5	158.44	63.31	4.01	167.86	849.38	58	1477.63	16.88	4.64	255.76	16.84	239.43	5.29	225.84	1175.43	265.12	70.25	132.72	24.48	65.78	7.1	243.69	932.56	94.16	1229.41	2.93	3.2	1020.45	5.17	37.07	37.75	741.69	1142.16	873.98	502.34	1943.02	639.31	262.93
SPP1	44.91	158.28	400.47	54.52	295.8	2583.7	13.72	489.39	487.8	3610.91	53.89	214.74	5.29	8.45	30.33	690.59	463.68	825.75	25.87	432.74	1563.93	179.56	13.44	2566.37	71.52	417.37	272.87	87.65	3265.64	986.89	391.69	10.28	31.14	325.69	29.71	325.42	7.24	508.33
SPRY4	35.01	39.57	321.58	253.94	71.84	1422.81	24.69	56.25	193.03	817.96	26.95	83.1	465.69	57.97	77.35	172.45	25.76	150.74	178.32	17.31	436.69	199.79	25.2	1897.23	30.83	39.1	60.76	37.56	137.31	27.8	75.51	68.52	45.88	39.48	67.52	39.49	28.95	42.57
SREBF1	202.65	316.57	250.71	199.42	321.16	282.5	744.3	90	143.9	245.53	286.3	257.53	324.32	276.57	257.84	406.14	252.91	233.01	171.33	318.5	203.26	262.44	515.85	310.53	309.51	377.3	180.13	271.28	130.55	189.97	287.87	215.83	360.51	419.99	216.06	458.11	325.69	323.03
SREBF2	192.04	87.06	154.44	183.64	247.21	202.99	344.72	16.88	189.16	218.74	74.1	120.12	207.14	206.52	171.39	199.84	103.04	114.7	120.28	155.79	281.37	185.97	221.8	208.35	208.4	216.02	144.96	102.25	424.27	134.37	56.63	217.54	291.69	279.63	207.96	221.16	318.45	140.23
SSTR2	2.48	71.23	9.36	18.65	21.13	3.74	6.4	61.88	4.64	4.87	23.58	9.05	6.05	10.87	31.85	4.03	16.39	11.41	3.5	17.31	10.65	3.95	14.28	4.01	7.4	6.84	11.72	18.78	6.37	32.43	14.16	8.56	14.75	8.77	18.91	26.85	14.47	22.54
STAT1	308.39	332.4	361.03	282.63	515.54	317.12	448.04	455.64	1573.66	790.19	249.25	374.36	178.41	259.66	536.91	347.31	615.89	1239.53	286.71	467.36	624.86	470.61	231.88	260.44	911.27	282.49	2298.04	313.02	496.71	347.5	349.22	457.35	1150.36	541.71	985.77	623.98	477.67	661.08
STAT2	628.8	419.45	721.39	397.4	785.99	260.99	443.47	354.38	1606.16	305.94	794.9	494.49	435.45	678.74	626.39	913.81	1211.88	1023.93	498.6	543.52	684.33	559.9	413.35	300.51	725.07	1073.25	1558.32	586.39	971.93	542.1	335.06	602.94	719.38	788.44	896.65	549.73	571.76	746.22
STAT4	3.54	94.97	23.4	28.69	27.47	7.48	22.86	56.25	9.28	12.67	40.42	18.92	3.78	39.85	24.27	15.31	29.27	13.21	9.79	34.62	12.43	18.75	18.48	8.01	28.36	8.8	29.84	20.87	10.75	27.8	23.6	42.82	21.3	28.51	54.01	22.12	28.95	32.55
STC1	2.83	31.66	12.03	8.61	14.79	1146.86	10.97	11.25	7.35	7.31	26.95	30.44	3.02	1.21	15.17	8.06	15.22	13.21	4.2	10.39	12.43	4.44	5.88	959.63	3.7	8.8	7.46	12.52	8.36	13.9	9.44	1.71	4.92	8.77	21.61	11.06	12.06	2.5
SYK	50.93	324.48	63.51	60.26	76.06	25.26	94.18	174.38	32.49	159.79	84.21	87.21	33.26	79.71	63.7	65.27	76.11	34.23	32.17	405.05	60.36	69.56	79.81	32.05	129.48	86.99	151.35	116.86	15.52	273.36	61.35	89.07	183.53	89.92	89.12	172.19	98.91	262.93
SYT17	1.77	7.91	13.37	27.26	31.69	30.87	7.31	45	3.87	11.2	16.84	16.46	38.56	20.53	7.58	9.67	25.76	5.4	4.2	17.31	16.86	11.84	15.12	18.03	8.63	6.84	9.59	27.13	16.32	23.17	28.32	23.98	13.11	14.26	35.11	11.06	7.24	20.03
TAP1	39.96	94.97	62.85	63.13	90.85	68.29	88.69	123.75	108.7	76.49	43.79	82.28	21.92	66.42	100.1	45.13	57.37	464.82	42.66	76.16	105.62	73.5	70.57	44.08	107.28	75.26	168.41	83.47	144.48	23.17	47.19	78.79	158.95	59.22	207.96	146.91	84.44	182.8
TAP2	81.69	118.71	117	60.26	133.11	84.19	96.92	416.26	138.88	72.59	97.68	152.21	49.14	106.28	138.02	103.95	73.77	490.65	107.69	148.86	125.15	110.01	117.62	100.17	165.24	49.85	211.04	108.51	117.81	101.93	70.79	131.89	183.53	106.37	210.66	164.29	118.21	177.79
TAPBP	510.33	609.39	998.85	420.36	504.98	480.82	667.49	4168.22	699.41	670.35	602.91	525.75	415.04	757.24	952.48	729.27	418.01	1721.17	831.47	1260.14	1014.52	513.03	543.58	661.13	1002.52	405.64	1317.43	1097.66	525.37	986.89	660.69	900.99	1224.1	848.76	1077.6	960.45	427.01	1307.14
TBX21	1.06	31.66	1.34	10.04	12.68	5.61	7.31	5.63	6.58	8.28	6.74	3.29	3.02	4.83	13.65	7.25	7.03	7.81	2.1	10.39	7.99	7.89	18.48	2	16.03	1.95	25.58	12.52	3.58	18.53	9.44	5.14	16.39	7.68	16.2	6.32	16.89	20.03
TCEB2	18.04	47.49	32.76	35.87	27.47	43.97	33.83	11.25	15.09	22.9	37.05	32.91	22.68	27.78	34.88	53.18	33.96	21.02	27.97	27.7	34.62	25.65	43.69	42.07	40.69	30.3	21.32	54.26	39.4	50.97	4.72	27.41	34.41	37.28	29.71	60.03	31.36	32.55
TCF12	142.88	102.88	178.51	235.29	150.01	172.12	276.14	67.5	283.94	271.35	239.14	231.2	176.9	184.78	175.94	304.6	146.36	240.82	153.15	197.33	176.63	317.69	282.29	128.22	273.75	141.73	205.71	189.9	525.37	199.23	132.14	176.43	172.06	265.37	162.04	202.2	168.87	192.82
TCF3	64.72	79.14	72.87	63.13	76.06	129.09	59.43	208.13	38.3	34.59	111.15	59.24	89.96	79.71	63.7	91.06	39.81	84.68	95.1	55.39	70.12	62.65	52.93	154.26	82.62	39.1	46.9	100.17	55.72	55.6	89.66	58.24	78.66	95.4	116.13	116.9	57.9	97.66
TCL1A	1.41	39.57	4.68	21.52	21.13	5.61	6.4	73.13	4.26	5.85	23.58	8.23	6.05	8.45	3.03	4.03	19.91	5.4	4.9	20.77	4.44	13.32	3.36	12.02	18.5	3.91	13.86	18.78	9.55	37.07	14.16	10.28	16.39	6.58	18.91	18.96	14.47	17.53
TDO2	12.38	31.66	135.72	47.34	16.9	11.23	12.8	78.75	16.25	77.95	37.05	9.05	12.1	22.95	18.2	19.34	24.59	13.21	5.59	24.23	142.01	28.12	17.64	26.04	19.73	24.44	67.15	81.39	35.42	64.87	9.44	49.67	24.58	29.61	35.11	90.04	9.65	40.07
TFEC	5.3	71.23	72.87	25.82	42.26	30.87	21.03	22.5	32.11	70.15	53.89	37.85	18.9	42.27	51.57	15.31	80.79	31.83	4.2	90.01	69.23	37.98	21.84	20.03	50.56	61.58	155.62	58.43	17.91	208.5	47.19	56.53	68.82	46.06	54.01	64.77	28.95	52.59
TGFA	6.37	31.66	12.03	53.08	78.18	273.15	79.55	28.13	1.93	15.59	43.79	78.16	11.34	13.28	56.12	18.53	18.73	7.21	7.69	27.7	15.98	28.12	47.05	258.44	60.42	7.82	7.46	33.39	12.74	37.07	14.16	46.25	47.52	57.02	54.01	85.3	74.79	37.56
TGFB1	51.63	356.14	424.54	258.24	255.66	806.35	204.82	776.27	94	190	451.34	173.6	239.65	451.69	502.02	439.17	393.42	325.5	90.91	495.06	229.89	266.38	302.45	1254.13	504.34	108.5	305.91	436.14	227.26	454.06	339.78	507.02	607.95	506.62	748.11	494.44	221.95	605.99
TGFB2	4.95	55.4	12.7	20.09	27.47	5.61	29.26	67.5	5.8	17.05	37.05	39.49	12.85	32.61	40.95	7.25	18.73	7.21	10.49	55.39	16.86	20.23	23.52	20.03	24.66	13.68	6.4	27.13	10.75	88.03	37.75	41.11	27.86	21.93	40.51	42.65	28.95	22.54
TGFB3	15.91	118.71	164.47	88.95	59.16	61.74	56.69	22.5	49.9	186.59	215.57	53.48	18.14	160.63	188.07	56.41	137	34.83	6.29	107.32	148.23	93.23	75.61	102.17	92.48	65.49	96.99	127.3	26.67	101.93	84.95	154.16	91.77	139.27	72.92	83.72	200.24	62.6
TGFBR1	378.06	229.51	308.88	276.89	376.09	287.18	98.75	61.88	411.21	613.83	191.99	448.41	322.05	367.15	359.46	269.15	310.29	308.08	529.37	415.43	264.5	269.34	117.62	378.64	112.21	423.24	374.12	548.83	421.09	305.8	188.77	433.37	278.58	190.81	294.38	187.98	159.22	197.82
TGFBR2	98.32	451.11	828.36	301.28	128.89	184.28	254.2	371.26	102.51	390.22	1215.93	277.27	40.07	550.72	492.92	334.42	436.75	311.08	85.31	647.38	205.92	273.29	262.97	194.33	451.32	193.54	196.12	1598.49	202.58	417	339.78	417.95	272.02	506.62	334.89	273.29	316.04	488.3
THBD	49.16	142.46	174.5	218.07	202.84	44.9	284.37	140.63	15.09	179.77	350.29	75.7	6.8	355.07	324.57	175.67	242.38	65.46	18.88	180.02	51.48	238.76	287.33	54.09	220.73	45.94	41.57	300.5	19.5	222.4	37.75	489.89	301.52	288.4	618.47	339.63	393.24	280.46
THBS1	37.13	150.37	333.62	175.03	42.26	119.74	169.16	135	15.47	158.82	360.4	269.05	52.16	870.77	832.66	119.26	784.5	139.93	48.25	328.88	195.27	156.87	111.74	136.23	207.16	101.66	52.23	313.02	57.71	222.4	103.82	1116.82	321.18	479.21	845.33	180.08	364.29	202.83
THY1	24.05	197.85	927.31	282.63	150.01	84.19	122.53	123.75	23.6	401.92	1330.45	111.9	55.94	997.58	696.16	157.94	400.45	88.88	23.78	543.52	260.06	339.39	265.49	76.13	361.3	228.73	66.08	857.68	37.81	871.06	160.45	810.21	375.26	257.7	596.87	123.22	414.95	463.26
TICAM1	56.23	39.57	66.86	81.78	103.53	161.83	60.35	118.13	53	43.36	94.31	115.19	71.06	79.71	92.52	66.88	80.79	138.13	71.33	96.93	98.52	82.38	67.21	142.24	66.59	41.05	63.95	50.08	74.83	171.43	84.95	83.93	75.38	70.18	143.14	61.61	74.79	122.7
TIGIT	1.06	15.83	22.06	30.13	19.02	12.16	18.29	45	22.82	32.64	13.47	12.34	9.07	15.7	31.85	8.86	37.47	27.63	4.9	27.7	30.18	28.61	18.48	16.03	53.02	17.59	86.34	25.04	26.67	32.43	9.44	22.27	60.63	28.51	35.11	36.33	26.54	45.07
TIMP3	138.28	633.14	2216.98	1038.7	185.93	2189.88	1135.65	607.51	3989.86	1024.03	1623.48	2464.2	362.12	1654.58	1217.9	788.1	2492.85	3488.58	315.38	1786.36	2213.65	791.75	756.97	2281.88	897.7	444.74	3092.12	953.67	1192.42	2719.75	1495.98	686.88	594.84	1317	553.65	290.66	1758.7	733.7
