comparison	log_odds_ratio	norm_interactions	interactions_counts	expected_counts	condition
CD4_4_vs_CD4_2	-1.36357069583156	6.24738996190756e-11	0	0.00230978042169242	untreated
CD45_1_vs_CD4_2	0.746191093617772	5.62271343961642e-06	9	1.61456763036775	untreated
CD45_2_vs_CD4_2	-2.88524476816464	6.24738996190756e-11	0	0.0767794095831322	untreated
CD8_1_vs_CD4_2	-2.9535882221047	6.24738996190756e-11	0	0.0898645123815247	untreated
CD8_2_vs_CD4_2	0.399070459758958	6.24801470090375e-07	1	0.399000065993548	untreated
CD8_3_vs_CD4_2	-3.15788136948966	6.24738996190756e-11	0	0.143840561424894	untreated
CD8_4_vs_CD4_2	-0.886691786894195	6.24738996190756e-11	0	0.00077035656305801	untreated
CD8_5_vs_CD4_2	-2.19809982070086	6.24738996190756e-11	0	0.0157797391847435	untreated
CD8_6_vs_CD4_2	1.01188096495931	1.87427946247189e-06	3	0.291913893827291	untreated
DC1_vs_CD4_2	-2.98885054827931	6.24738996190756e-11	0	0.0974654176835321	untreated
DC2_vs_CD4_2	-2.357998853857	6.24738996190756e-11	0	0.0228033605397631	untreated
DC3_vs_CD4_2	-2.59814250902871	6.24738996190756e-11	0	0.039640808993577	untreated
DC4_vs_CD4_2	-2.02465736733184	6.24738996190756e-11	0	0.0105841836618524	untreated
E1_vs_CD4_2	-0.288868692831193	6.24801470090375e-07	1	1.94496647602716	untreated
E2_vs_CD4_2	0.296241091913921	2.49901845866264e-06	4	2.02222631093237	untreated
E3_vs_CD4_2	-1.57437744068041	6.24738996190756e-11	0	0.00375299028916219	untreated
M1_vs_CD4_2	-0.814072986173582	3.74849645104415e-06	6	39.1049265716209	untreated
M10_vs_CD4_2	-3.49472141526417	6.24738996190756e-11	0	0.312407473945362	untreated
M11_vs_CD4_2	-4.22191164173318	6.24738996190756e-11	0	1.66690804156132	untreated
M12_vs_CD4_2	-1.68226642639495	6.24738996190756e-11	0	0.00481134419197335	untreated
M13_vs_CD4_2	-2.35431847460522	6.24738996190756e-11	0	0.0226109325574338	untreated
M2_vs_CD4_2	0.0715677801624882	3.1237574548534e-06	5	4.2404398772334	untreated
M3_vs_CD4_2	0.434286552252454	6.24801470090375e-07	1	0.367922946847366	untreated
M4_vs_CD4_2	-2.17915641609706	6.24738996190756e-11	0	0.015106241246591	untreated
M5_vs_CD4_2	-2.5970871320552	6.24738996190756e-11	0	0.0395445950024123	untreated
M6_vs_CD4_2	-3.69284791944078	6.24738996190756e-11	0	0.493001135361412	untreated
M7_vs_CD4_2	0.692598885308501	3.24864902758189e-05	52	10.5537133354843	untreated
M8_vs_CD4_2	0.898571443968205	3.1237574548534e-06	5	0.631549282638509	untreated
M9_vs_CD4_2	-2.95636917958899	6.24738996190756e-11	0	0.0904417963285126	untreated
Mo1_vs_CD4_2	0.003678738633075	7.49693042818869e-06	12	11.8988811459573	untreated
Mo2_vs_CD4_2	0.367214019717673	1.87427946247189e-06	3	1.28801734435492	untreated
Mo3_vs_CD4_2	-3.613463323014	6.24738996190756e-11	0	0.410641958924471	untreated
Mo4_vs_CD4_2	-3.179139736261	6.24738996190756e-11	0	0.151056610762243	untreated
Mo5_vs_CD4_2	-2.92821744170366	6.24738996190756e-11	0	0.0847651708497982	untreated
Mo6_vs_CD4_2	1.13770547347499	6.24801470090375e-07	1	0.0728346359453815	untreated
Mo7_vs_CD4_2	-2.03248223250656	6.24738996190756e-11	0	0.0107766116441817	untreated
Mo8_vs_CD4_2	-2.11359355233156	6.24738996190756e-11	0	0.0129895334409687	untreated
N1_vs_CD4_2	-0.0716788784191698	1.87427946247189e-06	3	3.53846259769611	untreated
N2_vs_CD4_2	-3.43024216853795	6.24738996190756e-11	0	0.269303605903599	untreated
N3_vs_CD4_2	-2.9197553407558	6.24738996190756e-11	0	0.0831295329999991	untreated
N4_vs_CD4_2	-2.43809330011553	6.24738996190756e-11	0	0.0274216321156663	untreated
N5_vs_CD4_2	-3.48716594655836	6.24738996190756e-11	0	0.307019490440142	untreated
N6_vs_CD4_2	-0.73479282162048	1.87427946247189e-06	3	16.2902801306943	untreated
N7_vs_CD4_2	-0.89198536515151	6.24801470090375e-07	1	7.79881812646685	untreated
NK1_vs_CD4_2	0.10937194284938	1.24954046628113e-06	2	1.5548187418545	untreated
NK2_vs_CD4_2	-2.20336384693661	6.24738996190756e-11	0	0.0159721671670728	untreated
NKT_vs_CD4_2	-3.39653911804139	6.24738996190756e-11	0	0.249194881750187	untreated
S_vs_CD4_2	-2.46469046210455	6.24738996190756e-11	0	0.02915348395663	untreated
T1_vs_CD4_2	-2.56870651779186	6.24738996190756e-11	0	0.0370430312321314	untreated
T10_vs_CD4_2	-0.355628205847125	6.24801470090375e-07	1	2.26814927234922	untreated
T11_vs_CD4_2	-0.896139232447477	6.24801470090375e-07	1	7.87376882558411	untreated
T12_vs_CD4_2	-0.541387359416421	3.74849645104415e-06	6	20.8711244640345	untreated
T2_vs_CD4_2	-1.76143797439039	6.24738996190756e-11	0	0.00577348410361986	untreated
T3_vs_CD4_2	-3.03747070855505	6.24738996190756e-11	0	0.10901109662329	untreated
T4_vs_CD4_2	-4.11389379489828	6.24738996190756e-11	0	1.29985166526817	untreated
T5_vs_CD4_2	-0.466496851200252	6.24801470090375e-07	1	2.92779239577407	untreated
T6_vs_CD4_2	-4.57527064374215	6.24738996190756e-11	0	3.76071691728645	untreated
T7_vs_CD4_2	0.640463889473505	4.99797444342567e-06	8	1.83076046851472	untreated
T8_vs_CD4_2	0.709375713532048	8.7464084205702e-06	14	2.73372877559497	untreated
T9_vs_CD4_2	-2.78395991282633	6.24738996190756e-11	0	0.0608078870498002	untreated
Treg1_vs_CD4_2	-2.0126492014714	6.24738996190756e-11	0	0.0102955416883584	untreated
Treg2_vs_CD4_2	0.427413424667145	6.24801470090375e-07	1	0.373792000308409	untreated
CD4_3_vs_CD4_3	-1.83813263606141	6.24738996190756e-11	0	0.00688862646881525	untreated
CD4_4_vs_CD4_3	-1.19724809108596	6.24738996190756e-11	0	0.00157488226035965	untreated
CD45_1_vs_CD4_3	0.25931807330184	1.24954046628113e-06	2	1.10086391560716	untreated
CD45_2_vs_CD4_3	-2.71892216341904	6.24738996190756e-11	0	0.0523506602522688	untreated
CD8_1_vs_CD4_3	-2.7872656173591	6.24738996190756e-11	0	0.0612725023800461	untreated
CD8_2_vs_CD4_3	-3.4346503627723	6.24738996190756e-11	0	0.272051022648785	untreated
CD8_3_vs_CD4_3	-2.99155876474406	6.24738996190756e-11	0	0.0980751011571275	untreated
CD8_4_vs_CD4_3	-0.720369182148593	6.24738996190756e-11	0	0.000525253774738784	untreated
CD8_5_vs_CD4_3	-2.03177721595525	6.24738996190756e-11	0	0.0107591315095422	untreated
CD8_6_vs_CD4_3	-3.29893216125621	6.24738996190756e-11	0	0.199036241117784	untreated
DC1_vs_CD4_3	-2.8225279435337	6.24738996190756e-11	0	0.0664550430277991	untreated
DC2_vs_CD4_3	-2.19167624911139	6.24738996190756e-11	0	0.0155480614751874	untreated
DC3_vs_CD4_3	-2.43181990428311	6.24738996190756e-11	0	0.0270283730366655	untreated
DC4_vs_CD4_3	2.14170866469062	6.24801470090375e-07	1	0.00721663537057177	untreated
E1_vs_CD4_3	-4.12258951536245	6.24738996190756e-11	0	1.32614042933354	untreated
E2_vs_CD4_3	0.860497191028333	6.24745243580718e-06	10	1.37881865895563	untreated
E3_vs_CD4_3	-1.4080548359348	6.24738996190756e-11	0	0.0025589089656292	untreated
M1_vs_CD4_3	-0.948773139031547	1.87427946247189e-06	3	26.6629912401748	untreated
M10_vs_CD4_3	-3.32839881051856	6.24738996190756e-11	0	0.213009420332612	untreated
M11_vs_CD4_3	-4.05558903698758	6.24738996190756e-11	0	1.13655128411827	untreated
M12_vs_CD4_3	-1.51594382164935	6.24738996190756e-11	0	0.00328052854949354	untreated
M13_vs_CD4_3	1.81204755741724	6.24801470090375e-07	1	0.0154168579144848	untreated
M2_vs_CD4_3	-4.46108830523071	6.24738996190756e-11	0	2.89126770495494	untreated
M3_vs_CD4_3	-3.39943427027881	6.24738996190756e-11	0	0.250861647595314	untreated
M4_vs_CD4_3	-2.01283381135146	6.24738996190756e-11	0	0.0102999190470831	untreated
M5_vs_CD4_3	-2.4307645273096	6.24738996190756e-11	0	0.0269627712563142	untreated
M6_vs_CD4_3	-3.52652531469517	6.24738996190756e-11	0	0.336143962052009	untreated
M7_vs_CD4_3	0.184313944510344	6.87219143199793e-06	11	7.19585972626644	untreated
M8_vs_CD4_3	0.843051089536131	1.87427946247189e-06	3	0.430610525757887	untreated
M9_vs_CD4_3	-2.79004657484339	6.24738996190756e-11	0	0.061666113062154	untreated
Mo1_vs_CD4_3	0.294939175213404	9.99588641295171e-06	16	8.11303821735802	untreated
Mo2_vs_CD4_3	1.05640523642526	6.24745243580718e-06	10	0.878211473094833	untreated
Mo3_vs_CD4_3	-3.4471407182684	6.24738996190756e-11	0	0.279988838071293	untreated
Mo4_vs_CD4_3	-3.0128171315154	6.24738996190756e-11	0	0.102995234683475	untreated
Mo5_vs_CD4_3	-2.76189483695806	6.24738996190756e-11	0	0.057795608021427	untreated
Mo6_vs_CD4_3	-2.69601534905627	6.24738996190756e-11	0	0.0496609872578654	untreated
