,E3,E1,T2,T9,T4,T10,S,L,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M4,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,B1,CD4_1,Treg2,CD8_2,CD4_4,CD8_1,CD8_6,N1,Treg1,T3,CD45_1,T5,T12,T7,T11,T8,E2,DC1,M10,Mo1,N7,Mo5,M7,N6
CD8_4,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,0,0,0,1,1,0,14,0,0,0,0,1,10,0,0,2,0,3,2,0,0,0,1,0,1,0,3,2,4,2,4,4,1,0,0,29,0,0,4,0
CD45_2,4,77,2,2,16,5,1,431,5,1,1,3,1,5,1,0,1,1,20,273,0,3,30,7,0,10,0,0,2,4,0,38,46,0,560,0,1,0,0,19,123,31,2,170,5,79,30,20,20,5,21,7,23,5,62,139,239,36,63,70,57,8,6,1285,34,21,215,52
B1,0,18,0,0,0,0,0,35,0,0,0,0,0,1,0,0,0,1,6,14,1,3,19,1,0,7,0,0,2,0,0,5,5,0,70,0,0,0,0,0,17,2,0,5,10,12,6,4,1,1,1,8,2,0,11,12,35,11,16,9,23,8,4,149,10,4,56,21
CD4_1,1,141,1,5,10,29,3,10,0,2,4,2,0,9,0,0,1,3,56,109,2,40,101,43,0,46,0,1,14,9,0,63,112,2,758,0,2,0,0,20,258,22,3,79,12,220,76,53,26,29,26,78,28,2,150,86,301,76,130,176,149,12,37,1538,120,14,644,255
Treg2,1,53,1,1,3,8,0,1,0,0,3,2,0,1,0,0,3,0,20,39,0,9,25,12,0,12,0,1,4,3,0,21,46,2,290,0,1,0,0,16,114,8,2,30,6,76,50,14,9,6,12,28,15,3,48,31,100,18,37,58,48,5,12,519,41,3,250,68
CD8_2,0,37,1,1,3,5,0,43,0,1,0,2,0,7,0,1,0,0,12,29,0,4,23,6,0,2,0,0,2,1,0,15,26,0,175,0,1,1,0,5,59,7,0,20,4,53,14,24,3,5,7,16,2,1,36,15,98,14,36,32,35,3,3,304,25,10,103,29
CD4_4,0,40,0,0,4,3,0,17,0,0,1,0,0,1,0,0,0,2,7,41,0,1,6,4,0,6,0,0,0,0,0,17,21,0,169,0,0,0,2,8,60,10,0,20,1,26,9,3,16,1,7,3,7,0,16,35,59,18,21,20,16,2,0,350,14,3,89,15
CD8_1,1,11,0,0,1,4,0,15,0,0,0,0,0,1,0,0,0,1,5,14,0,4,10,5,0,4,0,0,3,1,0,3,7,0,72,0,0,0,0,1,20,3,0,5,1,29,6,5,1,2,0,7,3,0,15,18,28,13,10,14,26,1,2,108,10,1,36,29
CD8_6,0,25,0,0,1,4,1,34,0,0,1,1,0,1,0,0,0,0,5,17,0,3,10,5,0,5,0,0,0,0,0,6,13,0,138,1,0,0,0,5,47,8,1,21,1,26,12,7,7,0,6,14,1,0,22,16,57,9,24,22,15,4,3,238,16,3,95,23
N1,1,47,2,2,35,332,2,0,2,0,2,5,0,6,0,4,2,3,61,44,0,65,68,30,1,17,0,14,85,73,8,119,72,1,806,0,3,4,0,7,142,2,0,7,8,78,28,16,3,7,14,996,8,0,99,64,470,41,249,262,152,4,15,716,902,15,655,1639
