,E3,E1,T2,T9,T4,T10,S,L,T1,DC4,DC3,CD8_3,DC2,M6,M13,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,N4,N5,N2,T6,Mo2,Mo7,M1,M7,M4,Mo5,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,CD8_2,CD4_1,CD8_1,Treg1,Treg2,N1,B1,CD8_6,CD4_4,T3,CD45_1,T12,T5,T8,T11,E2,DC1,M10,Mo1,N7,N6,T7
CD8_1,0,11,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,4,0,0,2,2,0,0,0,1,0,2,15,0,30,25,0,1,0,0,0,2,22,1,0,1,6,17,4,1,5,5,0,0,0,0,7,17,3,5,6,3,1,1,99,5,10,4
Treg1,0,14,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,7,0,7,1,1,0,0,0,0,1,3,5,0,82,21,0,3,0,0,0,3,25,3,0,2,0,8,1,8,11,3,1,1,0,0,5,20,2,7,5,4,1,0,122,1,9,4
Treg2,0,52,0,1,1,4,2,0,0,0,0,0,0,1,1,0,0,6,15,2,16,3,11,0,10,0,6,1,10,47,0,176,121,0,9,0,0,0,13,79,5,1,6,9,31,5,11,24,24,4,3,1,0,27,62,8,39,20,14,1,4,361,22,52,16
N1,1,117,0,2,4,156,7,11,2,1,3,1,1,10,4,0,0,35,13,0,55,9,15,0,23,2,30,63,46,136,1,714,562,6,15,3,0,0,9,170,2,0,6,10,21,5,3,24,472,4,10,1,0,51,245,14,143,353,83,2,20,653,502,783,44
B1,0,28,0,0,1,3,3,13,0,0,0,0,0,0,1,0,0,1,4,1,3,1,10,0,5,0,0,0,8,19,0,69,58,0,1,1,1,0,4,41,0,0,2,7,15,0,1,4,4,12,0,0,0,10,51,1,12,5,13,2,3,128,8,8,8
CD8_6,0,21,0,0,0,3,2,3,0,0,0,0,0,2,0,0,1,5,3,0,6,2,5,0,3,0,5,0,3,15,0,75,67,0,5,0,0,0,3,35,0,0,2,2,6,0,1,3,10,0,0,1,0,9,43,5,21,16,14,3,0,143,15,22,14
CD4_4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,1,1,9,0,14,15,0,2,0,0,0,0,8,1,0,0,0,4,0,0,1,1,0,1,0,0,2,10,4,2,2,5,0,1,49,0,3,2
T3,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,1,0,30,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1,6,2,0,1,15,1,0,3
CD45_1,0,153,1,2,4,16,16,14,0,0,5,1,1,7,9,1,0,39,42,2,21,14,26,1,42,1,13,4,26,157,2,503,513,0,37,1,1,0,19,212,11,1,11,37,54,7,5,27,51,10,9,2,0,112,310,24,173,68,39,7,12,1117,81,147,111
T12,3,701,4,12,200,206,51,71,7,0,21,7,2,41,16,17,2,160,253,6,69,234,204,3,73,4,46,43,564,848,17,3848,4513,5,542,14,1,0,35,648,21,0,85,73,186,17,20,62,245,51,43,10,10,310,7408,602,1712,1514,305,45,137,4298,708,738,668
T5,0,69,2,1,79,26,6,3,2,0,2,0,1,5,0,0,0,10,67,0,4,4,8,0,1,0,0,2,39,47,1,400,176,0,16,0,0,0,3,65,4,0,18,4,21,3,2,8,14,1,5,4,4,24,602,210,81,261,21,3,1,386,45,19,35
T8,0,189,6,4,9,46,14,27,1,2,2,10,4,61,5,7,0,98,46,0,51,121,97,0,135,4,68,14,56,401,15,1758,4545,27,297,8,4,0,30,365,6,0,23,51,73,5,7,39,143,12,21,2,1,173,1712,81,2024,300,71,28,46,1926,203,394,180
T11,0,234,0,2,69,176,12,5,1,0,9,16,4,65,5,0,1,67,146,0,32,7,19,3,11,2,10,185,538,125,0,11933,723,133,61,0,0,0,15,262,8,1,15,38,62,6,5,20,353,5,16,2,6,68,1514,261,300,10918,39,9,7,1635,969,1689,84
E2,2,477,0,0,1,14,8,19,1,0,11,3,0,6,5,5,1,39,49,7,47,52,37,0,20,0,7,8,16,195,5,392,448,18,28,1,0,0,12,160,1,0,12,25,51,3,4,14,83,13,14,5,2,39,305,21,71,39,1046,18,27,895,127,304,128
DC1,0,29,0,1,0,0,0,14,0,0,1,0,1,1,0,1,0,1,4,0,2,12,7,0,2,0,2,0,1,31,0,53,87,0,1,0,0,0,2,18,0,0,1,2,7,1,1,1,2,2,3,0,0,7,45,3,28,9,18,8,13,82,10,27,13
M10,0,45,0,0,1,4,1,18,0,0,4,2,0,1,0,3,0,14,7,0,2,18,21,0,3,0,2,1,6,54,1,76,159,0,7,1,0,0,3,24,1,0,1,3,21,1,0,4,20,3,0,1,1,12,137,1,46,7,27,13,20,145,12,37,25
Mo1,10,3891,4,19,110,279,108,54,13,5,26,38,9,141,53,11,9,439,865,18,403,148,355,4,268,9,136,90,770,2369,19,11994,7637,46,1051,36,4,1,235,3164,122,12,293,362,857,99,122,361,653,128,143,49,15,1117,4298,386,1926,1635,895,82,145,26934,1622,2010,1289
N7,0,192,0,3,23,558,37,12,0,0,0,5,0,33,10,2,0,53,33,2,200,18,19,6,39,9,78,169,359,194,1,3192,884,26,32,2,1,0,21,304,7,0,10,30,63,5,1,22,502,8,15,0,1,81,708,45,203,969,127,10,12,1622,2542,1873,105
N6,0,342,0,6,5,409,25,14,3,0,12,3,3,38,16,2,0,74,37,4,211,50,72,5,72,6,96,144,139,414,1,2948,1415,75,46,2,0,0,51,514,8,3,19,34,105,10,9,52,783,8,22,3,0,147,738,19,394,1689,304,27,37,2010,1873,3876,138
T7,1,218,2,0,7,22,7,70,5,1,0,1,0,3,13,5,0,85,137,0,22,32,31,0,28,0,9,9,120,143,3,849,817,2,29,1,0,0,8,123,4,0,35,22,44,4,4,16,44,8,14,2,3,111,668,35,180,84,128,13,25,1289,105,138,852
