,E3,E1,T2,T9,T4,T10,S,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M7,M4,Mo5,Mo6,B2,CD4_2,CD8_5,CD8_4,CD45_2,NKT,NK1,L,CD4_1,CD8_2,CD8_6,Treg2,CD8_1,B1,Treg1,CD4_4,CD45_1,N1,T3,T12,T5,T8,T11,DC1,M10,E2,Mo1,N7,N6,T7
CD8_3,0,19,0,17,22,15,0,0,0,0,34,0,3,0,0,0,0,17,24,0,5,1,1,0,4,6,0,4,1,0,42,14,0,522,70,0,2,0,0,0,0,0,3,4,11,6,8,4,4,1,0,0,0,0,6,24,1,135,30,20,100,1,1,19,151,69,66,14
DC2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,6,0,2,0,0,0,4,0,0,0,0,0,1,2,0,71,18,0,0,0,0,0,0,0,0,0,0,5,5,2,0,0,0,0,0,0,5,1,0,26,9,6,10,1,0,4,26,3,17,4
M6,0,22,0,3,52,27,2,0,0,1,3,0,140,2,0,0,0,23,50,0,3,1,4,3,1,0,3,3,9,0,277,12,0,1849,463,3,4,0,0,0,0,0,1,1,17,1,6,13,1,4,1,1,0,0,18,31,6,701,100,177,471,0,4,11,313,144,106,37
M13,0,5,0,0,0,0,19,0,0,0,0,0,2,40,0,0,0,2,0,1,2,0,0,0,1,0,0,0,1,0,1,2,0,32,7,0,0,0,0,0,0,0,0,1,10,0,2,1,0,2,0,5,0,0,11,7,0,4,0,1,6,0,1,5,51,3,10,0
M5,0,0,1,0,0,6,0,0,1,0,0,0,0,0,2,0,0,87,0,0,0,1,0,0,4,0,0,1,0,0,1,0,0,21,20,0,0,1,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,13,5,0,129,6,7,10,0,5,5,4,11,60,6
Mo8,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,22,1,0,0,2,0,0,3,0,0,2,0,0,0,4,0,7,14,0,0,1,0,0,0,0,0,0,3,2,2,1,0,0,0,1,0,0,5,0,0,35,0,5,2,0,5,2,7,0,2,4
M12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,4,12,0,0,0,0,0,0,0,1,0,0,5,2,0,0,0,0,0,0,0,1,0,0,11,1,1,1,0,0,2,2,0,0,3
M2,0,344,4,4,141,914,14,22,0,20,17,8,23,2,87,22,2,8044,455,0,33,54,32,60,97,5,2,35,34,17,257,139,5,5694,1425,1,6,7,0,5,1,0,19,24,214,86,221,70,47,54,14,18,0,0,583,646,22,10922,620,600,2306,62,339,526,1478,1951,4706,599
M11,4,218,0,4,407,47,2,25,1,5,24,6,50,0,0,1,3,455,1032,0,3,6,10,2,8,2,0,0,14,0,423,28,0,7266,453,0,2,0,0,0,11,0,46,10,59,50,49,51,30,56,6,3,1,0,74,16,49,2524,1096,138,960,15,9,60,1067,157,48,289
CD4_3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,3,11,0,0,0,0,0,0,0,0,3,6,0,10,0,0,0,0,2,0,0,2,0,0,5,0,3,2,0,0,10,16,2,11,3
Mo3,0,69,0,3,3,80,1,1,1,1,5,2,3,2,0,0,0,33,3,0,222,3,3,0,26,0,0,21,13,0,25,55,0,581,315,0,2,0,0,0,0,0,0,17,98,6,67,16,27,12,2,5,2,0,79,187,1,133,4,100,64,1,4,102,676,557,609,32
M3,0,61,1,0,0,19,0,0,2,2,1,0,1,0,1,2,0,54,6,0,3,256,58,0,43,1,0,22,2,0,8,106,1,98,1179,1,4,19,0,1,0,0,1,7,72,118,62,20,10,14,7,23,0,0,62,43,1,524,8,181,9,16,70,171,195,26,217,133
Mo4,0,37,0,0,0,15,0,0,0,3,1,0,4,0,0,0,0,32,10,0,3,58,24,0,13,0,0,8,1,0,16,69,0,115,321,0,5,10,1,0,0,0,1,4,33,1,22,6,3,12,2,10,0,0,25,34,1,184,9,64,12,12,20,50,132,32,108,48
M9,0,1,0,0,0,32,0,0,0,0,0,0,3,0,0,0,0,60,2,0,0,0,0,4,0,0,0,1,7,3,18,4,0,180,6,0,1,0,0,0,0,0,0,1,1,0,1,3,1,1,1,0,0,0,8,28,0,66,4,6,48,0,3,6,33,173,232,2
M8,0,100,0,3,1,40,0,2,2,1,4,4,1,1,4,3,0,97,8,3,26,43,13,0,228,2,0,36,9,0,20,200,2,394,1761,2,13,23,2,5,1,0,7,47,237,42,207,55,43,60,12,30,4,0,195,158,0,337,9,351,47,6,16,198,693,112,514,172
NK2,0,5,0,1,2,0,0,0,0,0,6,0,0,0,0,0,0,5,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,34,19,0,0,0,0,0,0,0,1,3,3,0,1,1,2,1,0,1,0,0,6,6,0,13,2,8,3,1,2,1,16,2,11,5
N4,0,1,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,0,4,1,0,40,42,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,14,0,15,0,10,14,0,0,0,15,42,63,1
N5,0,28,0,1,0,63,0,0,3,2,4,0,3,0,1,2,2,35,0,0,21,22,8,1,36,0,1,62,5,0,8,69,1,161,726,1,4,8,1,0,0,0,0,17,76,5,60,7,9,7,0,5,0,0,61,147,0,118,0,168,27,2,8,101,224,171,654,50
N2,0,13,0,0,10,67,0,1,0,0,1,0,9,1,0,0,0,34,14,0,13,2,1,7,9,0,1,5,34,1,89,21,0,804,112,0,1,0,0,0,0,0,1,2,12,0,12,6,8,1,0,1,0,0,30,158,0,169,17,39,144,1,5,18,186,305,420,14
N3,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,3,0,0,0,0,1,4,2,1,0,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,118,0,50,1,5,11,0,1,1,8,75,495,0
T6,0,397,0,19,580,255,8,2,0,5,42,1,277,1,1,0,1,257,423,0,25,8,16,18,20,0,4,8,89,2,3312,109,0,15952,892,1,10,1,0,0,6,0,17,17,142,128,77,52,31,42,3,9,1,0,142,293,74,5454,786,322,3561,11,18,105,2483,1451,930,324
Mo2,3,356,0,7,23,88,3,1,1,8,14,2,12,2,0,4,0,139,28,10,55,106,69,4,200,0,1,69,21,1,109,668,9,1543,2230,1,42,38,5,3,1,0,6,73,415,67,376,86,54,88,35,48,2,1,331,266,0,829,43,451,166,17,52,443,2056,292,1084,297
Mo7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,1,0,0,0,9,0,6,31,0,1,2,0,0,0,0,0,0,1,0,2,1,5,1,0,2,0,0,4,0,0,8,0,6,0,0,1,3,10,0,7,1
